,Unnamed: 0,label,ids,data,flag,user,tweet_text
18730,189616,0,1969171918,Fri May 29 23:13:38 PDT 2009,NO_QUERY,Libsss,awww i hate look sad my frieeeends! First Marien&amp;theen Chioo  you'll put me sad toooo!
17763,518385,0,2191527989,Tue Jun 16 05:27:49 PDT 2009,NO_QUERY,n_chic,im hearing rolls of thunder... scary  é·é³´ã?è?ã?ã?ããã? ã?ªã¼
29366,1347407,1,2044575492,Fri Jun 05 09:33:09 PDT 2009,NO_QUERY,tombierly,@chrismillet @aprilsheninger Congrats! That's great news. I'm so happy for the two of you 
43841,237051,0,1980124144,Sun May 31 05:46:11 PDT 2009,NO_QUERY,AmyJade,@jtr226 hahahaha yeah but still this day and age wit technology we shouldnt have to deal with it!!! 
10741,1312351,1,2013629669,Tue Jun 02 23:09:18 PDT 2009,NO_QUERY,ryanr09,"Starting 2 'get' y ppl will read a book over &amp; over again. It's much like watching a DVD series (show) over &amp; over, yet more descriptive. "
3986,330615,0,2012307257,Tue Jun 02 20:25:20 PDT 2009,NO_QUERY,ItssSarahh,Blackberry has been sold.  it was fun having it for the less than two weeks i had it.
40475,615299,0,2226220299,Thu Jun 18 11:40:58 PDT 2009,NO_QUERY,inlovewithKU,@Sugarlandmusic Someone got them! My mom just checked! Darn! 
8470,419954,0,2062099652,Sat Jun 06 22:20:10 PDT 2009,NO_QUERY,mandi311,Just got back from a great vacation... so hard to go back to work 
35621,1327387,1,2015375292,Wed Jun 03 04:29:52 PDT 2009,NO_QUERY,kirstendammer,woop. just pre-ordered my copy of the sims 3! i'll be glued to my laptop all weekend 
30892,1065050,1,1964853620,Fri May 29 14:55:02 PDT 2009,NO_QUERY,chuudesign,"@Hoyen000 That's quite awesome! I might have to take a Greyhound sometime, so that's good to know. "
27652,847364,1,1564565983,Mon Apr 20 04:04:12 PDT 2009,NO_QUERY,sashembrey,@ideatreks - good idea ... no taking bets on which one you'll get. Or if you do ... I get a cut 
35359,604747,0,2222040041,Thu Jun 18 06:24:22 PDT 2009,NO_QUERY,JessicaAriel,Rain again?! 
24435,440101,0,2066616139,Sun Jun 07 10:51:19 PDT 2009,NO_QUERY,ricardo5518,I only have 13 fans of facebook..........http://bit.ly/eyd9n 
47853,63828,0,1687790894,Sun May 03 09:35:50 PDT 2009,NO_QUERY,Jerzygrllys,on my way to Bamboozle day 2! hope the rain stops soon  -Lys [BzLr] -
8835,1169892,1,1980310818,Sun May 31 06:21:56 PDT 2009,NO_QUERY,Zamuzel,Time to go running in the sun 
6572,783329,0,2323889204,Thu Jun 25 01:44:44 PDT 2009,NO_QUERY,faceofboe,@bbcproms they live in London! They have access to this anyway! This is v frustrating for license payees who live in the sticks. 
36456,830683,1,1557336757,Sun Apr 19 03:29:05 PDT 2009,NO_QUERY,AlbertoMCfan,@HoneyBfly09 Good Morning HoneyBfly 
8750,523150,0,2193025692,Tue Jun 16 07:53:36 PDT 2009,NO_QUERY,VeronicaY9,Going out of town - Palm Beach! Wish me luck on stand-by.  
21067,299284,0,1997964612,Mon Jun 01 17:45:47 PDT 2009,NO_QUERY,scottodonnell,"Just watched a guy take a pipe hit, while driving down the road, with a baby in a car seat in the back seat: people can be real ignorant "
4337,1203072,1,1985967938,Sun May 31 18:06:38 PDT 2009,NO_QUERY,SirBrAnDorK,listening to music. thinking about how much fun im gonna have on thursday 
24908,1293401,1,2003203964,Tue Jun 02 06:05:14 PDT 2009,NO_QUERY,tmlong1,@carditz its true!  i want you
47165,577981,0,2212853365,Wed Jun 17 14:37:10 PDT 2009,NO_QUERY,DiAlarid,"Guys, we're not going to Sonoma at all, it's really difficult for us to drive over there tonight, we couldn't get there before 8 anyway "
3424,51033,0,1678780288,Sat May 02 07:42:09 PDT 2009,NO_QUERY,Christineistiny,@Brooke_Brooke pretty good except for some guy ran into me really hard &amp;&amp; I have a bruise on on arm &amp;&amp; a hairline fracture in my ribcage 
14188,206998,0,1973375330,Sat May 30 11:01:39 PDT 2009,NO_QUERY,lilmissElena,Work is killing me 
45922,1463531,1,2064145644,Sun Jun 07 05:22:32 PDT 2009,NO_QUERY,officalKARMA,Oh. Enjoy the magic. Go see Up People!  it's good movie watching weather.
28964,1378346,1,2052002820,Fri Jun 05 23:22:45 PDT 2009,NO_QUERY,KellyG5,@C_DIG ok... not only are you STUNNING you beautiful woman you but you ROCK!!! Thanks for sharing &gt; http://bit.ly/IjVg5   xo
24515,1177179,1,1981376426,Sun May 31 09:01:24 PDT 2009,NO_QUERY,mcrfash1,"@roudy4561 i love frank, he's so crazy "
17468,1051550,1,1961184350,Fri May 29 09:06:41 PDT 2009,NO_QUERY,galleysmith,@bookish_type you're an icon now.  It's very difficult to achieve the heights of &quot;Mc&quot;status.  Congratulations 
47702,746229,0,2282874501,Mon Jun 22 11:55:11 PDT 2009,NO_QUERY,Krazboy,all cleaned.  Now I feel guilty about eating anything. 
1312,285683,0,1993675831,Mon Jun 01 10:45:24 PDT 2009,NO_QUERY,krijole,back @ work 
21348,890462,1,1688077090,Sun May 03 10:17:07 PDT 2009,NO_QUERY,laka0706,trying to figure this out 
26732,402979,0,2058066318,Sat Jun 06 14:11:57 PDT 2009,NO_QUERY,joshuaheller,The shirts are for kids only 
3882,154032,0,1933082487,Tue May 26 22:57:08 PDT 2009,NO_QUERY,ShesARiot,"In (lame) Arabic class!  No further explanation needed, right? Uhhh."
45376,1247917,1,1995677880,Mon Jun 01 13:52:26 PDT 2009,NO_QUERY,betbot,@lady__croft maybe you forget you re in Canada 
2702,867940,1,1677858505,Sat May 02 04:21:55 PDT 2009,NO_QUERY,Lunabee_art,@cooliobeanz cool  photos please!
349,271454,0,1990019492,Mon Jun 01 03:36:35 PDT 2009,NO_QUERY,uskeda3mm_en,Wanna watch #pixar 's #UP . The film releases in DECEMBER in Japan  Over half a year later? Not speed of 21st century.
25669,354965,0,2039874551,Thu Jun 04 23:01:50 PDT 2009,NO_QUERY,lunchpailtree,all these girls in underwear keep following me  (on twitter)
21892,391362,0,2054892788,Sat Jun 06 08:17:32 PDT 2009,NO_QUERY,emmahutcheson,"@CheesyLouisey i need a new book, i have nothing to read "
9830,1414271,1,2057008920,Sat Jun 06 12:12:06 PDT 2009,NO_QUERY,georsales,acceptance is always the first step  (Up at 3am on her 10-day weekend)
31865,1478566,1,2066501816,Sun Jun 07 10:38:26 PDT 2009,NO_QUERY,alaksir,"@LexiePixie Hehe, tip me if you're trying to kill anyone. Am always up for a good challenge "
27199,1426134,1,2059167602,Sat Jun 06 16:23:02 PDT 2009,NO_QUERY,rochelledancel,"@megelder Good luck, sweetheart! "
34268,101661,0,1794569474,Thu May 14 06:06:14 PDT 2009,NO_QUERY,rcalmon,Google News down 
25367,238961,0,1980522699,Sun May 31 06:59:10 PDT 2009,NO_QUERY,JonsVeronica,@PaoMiami PH just posted some Shit again  +vero is angry+
13324,579151,0,2213379001,Wed Jun 17 15:17:43 PDT 2009,NO_QUERY,TanyaMJay,"rats, I hate having to cancel plans with friends! Supposed to see my best friend tonight. Stupid car situation "
33648,824248,1,1556192170,Sat Apr 18 21:57:16 PDT 2009,NO_QUERY,BrolynHon,I just signed up for twitter and am looking around so see what the buzz is about 
47553,1440384,1,2061664539,Sat Jun 06 21:20:46 PDT 2009,NO_QUERY,kali_erin,@valerierenee you should have joined in on the party!  the more the merrier 
36345,1550426,1,2183771555,Mon Jun 15 14:57:54 PDT 2009,NO_QUERY,StarSpun1,@DonnieWahlberg You are such a good man! I'm sure the Aussie fans will appreciate your words 
42142,505574,0,2188423689,Mon Jun 15 21:52:21 PDT 2009,NO_QUERY,chanmii,"my heart breaks to hear nathan in pain and sick.  Will you please be praying for him, the family, and that you will stay healthy? thx"
50,1048889,1,1960230648,Fri May 29 07:38:01 PDT 2009,NO_QUERY,skdev,@3rdbrain Karachi se hee  we are called &quot;Kutchi Memons&quot; where are you?
35215,153586,0,1932991346,Tue May 26 22:42:55 PDT 2009,NO_QUERY,Teenydish,@aplusk pofile pic prob w the tweet  
16771,455851,0,2071068236,Sun Jun 07 18:46:49 PDT 2009,NO_QUERY,VTarmywife,@JessicaYahn sorry I left the chat ... can't sign in   I'll try again a little later then maybe tomorrow.
37127,235133,0,1979724071,Sun May 31 04:14:58 PDT 2009,NO_QUERY,lw_blink182fan,Is doing homework........ 
17850,447131,0,2068613763,Sun Jun 07 14:23:16 PDT 2009,NO_QUERY,arymojo,"Ndit, Ari Permadi, Angga, Eki, Laksono Im counting on you for physics, cant study anymore "
33795,68848,0,1693025785,Sun May 03 21:22:11 PDT 2009,NO_QUERY,Listed,@girlwithnoname I promise; will keep you apprised. It's been over 4 months (ice-fall injury New Year 's Eve). No improvement. Sad I am 
30817,1320049,1,2014541256,Wed Jun 03 01:52:45 PDT 2009,NO_QUERY,thomnowuk,@mrgarethbrooks can you play Nine Black Alps - Buy Nothing - The new single  Thankyou!!!
23182,1367273,1,2050378311,Fri Jun 05 18:33:46 PDT 2009,NO_QUERY,JackShockley,@SaraJBenincasa  Re: ..delete my Nerve personal.. Me: You were super busy writting your blog? 
12875,1063602,1,1964502724,Fri May 29 14:20:19 PDT 2009,NO_QUERY,baddladd,"@heyuguysblog script stays pretty much the same, but liam neeson rocks!  i actually liked it "
41576,1111645,1,1972260559,Sat May 30 08:53:23 PDT 2009,NO_QUERY,aipltweet,Hello! Please help me find an avatar to use 
14262,1049761,1,1960478370,Fri May 29 08:01:40 PDT 2009,NO_QUERY,tammygamble,is working on and hoping for happiness 
39140,958211,1,1825661058,Sun May 17 06:27:15 PDT 2009,NO_QUERY,kgiggy,@pilgrimnator It will come to you...in time. 
24970,1177832,1,1981486804,Sun May 31 09:15:18 PDT 2009,NO_QUERY,iwantfrootloops,swinging in the mountain tops with emily&amp;ariel was rather peaceful 
15241,1474561,1,2065750729,Sun Jun 07 09:13:03 PDT 2009,NO_QUERY,janecakemaster,tenafly has a farmers market now ftw storytelling at 1230 
26324,106053,0,1823378542,Sat May 16 21:48:51 PDT 2009,NO_QUERY,terrydactyl_,@chonnytehshiz Oh wow Goku wig? LOOOOL! The DBZ movie has convinced me Goku is white though  ... x108370987500Tears
1157,94080,0,1770922668,Mon May 11 22:38:12 PDT 2009,NO_QUERY,Naturalesque,aaaahhhh!!!! My body wont let me go to bed! 
30222,1363620,1,2049556502,Fri Jun 05 17:05:17 PDT 2009,NO_QUERY,youlovejae,GOD IS SO FAITHFUL 
20527,1099520,1,1970579720,Sat May 30 04:25:57 PDT 2009,NO_QUERY,Georgie_S,Going out in a minute to make the most of the sun 
33034,1132418,1,1976013656,Sat May 30 16:24:00 PDT 2009,NO_QUERY,harrietelefther,@JonathanRKnight i wouldn't mind you being naked 
26034,537496,0,2198775844,Tue Jun 16 16:33:15 PDT 2009,NO_QUERY,10thSpeedWriter,"@KathysArt NO. Wrong! Retweet them, but cut out the names!  I typoed that post to hell and back. "
11782,1507719,1,2174538382,Sun Jun 14 22:45:52 PDT 2009,NO_QUERY,zhienzhien,Selling AVON products. If you want to order just email me at jaydenelisha@gmail.com or text me 09178861802 
29767,534818,0,2197689607,Tue Jun 16 15:00:17 PDT 2009,NO_QUERY,branchhh,home. finally. so tired 
10170,991023,1,1835067813,Mon May 18 05:02:55 PDT 2009,NO_QUERY,Sparklesperson,"@StephenRinaldo Rubicon was a river - to cross it was act of war.  What's the horse part?  Ok, so I'm not smart... "
48436,594215,0,2218445585,Wed Jun 17 22:29:54 PDT 2009,NO_QUERY,troyglidden,@jessehlopez12 Not yet...hopefully an app will come out for it...considering you can't even record video 
23217,834362,1,1557940853,Sun Apr 19 06:39:41 PDT 2009,NO_QUERY,DaveytheGravey,Photo: Design meeting at 9 am over eggs benedict on broadway  http://tumblr.com/xjg1m81bl
39495,1559769,1,2186153251,Mon Jun 15 18:25:56 PDT 2009,NO_QUERY,Its_lauren_liz,sitting in the wegmans cafe waiting for joel to finish work. Again. Then celebrating our anniversery. I think! 
505,145585,0,1882254743,Fri May 22 06:31:58 PDT 2009,NO_QUERY,JolynSaramaga,"@uykarry oh, that sucks, I've been looking at moving to a mac later this year - will have to remember that  "
12795,1161392,1,1979504867,Sun May 31 03:20:12 PDT 2009,NO_QUERY,bekahxdoll,relaxing 
27143,217069,0,1975853127,Sat May 30 16:02:38 PDT 2009,NO_QUERY,ohmarissa,@SoSaysSarah iam very jealous.  ! me want starbucks
21405,869126,1,1678071262,Sat May 02 05:22:16 PDT 2009,NO_QUERY,ninayeaaa,@Nicoolle http://twitpic.com/4ed3x aww look at @dougiemcfly. he's right cute. 
10366,1315356,1,2014022118,Wed Jun 03 00:14:00 PDT 2009,NO_QUERY,keyna_b,@blake_wood almost solved...  now you have one more from South Africa
46657,181767,0,1966969093,Fri May 29 18:43:57 PDT 2009,NO_QUERY,HellsLust,@UnknownBeauty85 call me soon Sissy 
6785,385165,0,2053546438,Sat Jun 06 04:56:10 PDT 2009,NO_QUERY,MCRmyWorld,good thoughts and feelings about my birthday have gone away. My sister wont stop going on about her car. my mum is in a piss. its raining 
15525,942982,1,1794867896,Thu May 14 06:43:06 PDT 2009,NO_QUERY,Siongc,"@minibtweet Sounds brilliant  Sky here is perfectly flat and white, not a break in it anywhere. Better than rain though!"
24586,1044950,1,1957499602,Fri May 29 00:41:40 PDT 2009,NO_QUERY,KristenCampisi,"goooood night    &quot;The nicest thing for me is sleep, then at least i can dream..&quot;...Marilyn Monroe"
40204,1061325,1,1963693754,Fri May 29 13:06:24 PDT 2009,NO_QUERY,roynuesca,SF here we come!  omg o_O I missed so much calls! Sorry people! :/ rushing to get ready.
24995,344697,0,2015733441,Wed Jun 03 05:23:40 PDT 2009,NO_QUERY,H3CT0RR0X523,Going to skool for 3 hours 
11403,1419187,1,2057922045,Sat Jun 06 13:55:15 PDT 2009,NO_QUERY,caseycarter,@BenitoBlanco ya better email me that! oh yeah nice seen ya last nite! 
39777,130050,0,1835230730,Mon May 18 05:29:13 PDT 2009,NO_QUERY,jtcheek,wants kyler to get done with her spaying 
26635,600898,0,2221021164,Thu Jun 18 04:31:28 PDT 2009,NO_QUERY,TosinP,@Gaminegirlie Sorry about your loss!   *hugs*
11813,1575566,1,2189410590,Mon Jun 15 23:58:08 PDT 2009,NO_QUERY,strybe,"Morning all, glorious day outside today. I would go out and enjoy it but I've told the wife that I would do some spring cleaning "
14780,398676,0,2056952551,Sat Jun 06 12:05:54 PDT 2009,NO_QUERY,maggiex3jonas,@carlitatink no 
20154,355522,0,2043955892,Fri Jun 05 08:39:38 PDT 2009,NO_QUERY,chrifive916,@ChaffinOrchards we'll be having the steaks tomorrow for dinner. We can't usually make the weekday markets. Have to work 
47962,112930,0,1825628909,Sun May 17 06:20:57 PDT 2009,NO_QUERY,chromeshelter,Champions Online Release Delayed....  szeptember 1.-ig nem lehetï¿½nk h?sï¿½k.
8919,1246482,1,1995317400,Mon Jun 01 13:17:48 PDT 2009,NO_QUERY,carmel_24,hmmm my coffee smells sooo good! 
43232,1492606,1,2069324313,Sun Jun 07 15:40:09 PDT 2009,NO_QUERY,BRITTANYBURGEL,going to the ballet tonight! 
25329,1473376,1,2065542652,Sun Jun 07 08:48:37 PDT 2009,NO_QUERY,TammyM5,@larainefan Thanks Alicia  I'm off from work today and enjoying a completely LAZY day with the kids watching movies 
176,699949,0,2254605131,Sat Jun 20 10:00:27 PDT 2009,NO_QUERY,Pitxi,@badjedi no need.. I look the same 
6132,233679,0,1979419314,Sun May 31 02:58:15 PDT 2009,NO_QUERY,WkdSelina,Off to work  I wanna have a lazy day in the sun! Enjoy your day peeps!
37021,1530483,1,2177820297,Mon Jun 15 06:45:21 PDT 2009,NO_QUERY,dinahahaha,Eating B&amp;J's Phish food!  - http://tweet.sg
16960,683423,0,2250266684,Sat Jun 20 00:05:52 PDT 2009,NO_QUERY,jennysunphoto,"wooohooooooo!!! really truly? I'm gonna get a 24mm?!?!?! dont burst my bubble, or else I'll despise u... "
27445,1142654,1,1977330956,Sat May 30 20:43:07 PDT 2009,NO_QUERY,ShaneFitzgerald,Behind every Slot Machine is a Robot Amputee waving Hello. 
13508,1335230,1,2016958284,Wed Jun 03 07:38:02 PDT 2009,NO_QUERY,MyChemChat,"Welcome, new followers! Thanks for joining, and remember to tell your friends about #MCRchat. "
14845,320450,0,2003357934,Tue Jun 02 06:23:16 PDT 2009,NO_QUERY,RachaelLovesKy,enjoyin the sun n beer to come but the bordom is not very good  resorting to daytime tv...things are getting bad lol
39678,742454,0,2266552887,Sun Jun 21 08:42:18 PDT 2009,NO_QUERY,DominoBond,@omg_pichu goood!!  How are you??  It sucks you gotta work today! 
45328,1181305,1,1982065238,Sun May 31 10:27:25 PDT 2009,NO_QUERY,leshkanyc,"Sometimes I like to put the show on, like today with my LV bag making appearance in Chelsea. My airbrush tan is on, so are is my pedicure "
11631,640630,0,2235037909,Fri Jun 19 00:17:16 PDT 2009,NO_QUERY,scawty,I'm in pain. I want to sleep. my body won't let me 
1358,769804,0,2301779246,Tue Jun 23 15:54:05 PDT 2009,NO_QUERY,blackbows,Too humid! 
14510,114293,0,1826234260,Sun May 17 08:01:12 PDT 2009,NO_QUERY,Awesome_Tie,Listening to Nick Jonas- Dear God  Still need to finish revising R.E...I DONT UNDERSTAND BIBLICAL COSMOLOGY 
25481,911070,1,1751819737,Sat May 09 20:21:15 PDT 2009,NO_QUERY,lindaliuser,"@10veisonitsway OHSHNAPSSS. is she pissed at blair as usual ? hahah. &amp; yeeeah, i bake cookies "
6823,1244928,1,1994953263,Mon Jun 01 12:43:11 PDT 2009,NO_QUERY,kristen_brunn,last monday of the school year! for me anyway 
42288,1597933,1,2193054193,Tue Jun 16 07:56:03 PDT 2009,NO_QUERY,KrishNalus,@apriljapzon hey april! how's school? cmc padin? 
33741,149545,0,1883462771,Fri May 22 08:35:25 PDT 2009,NO_QUERY,TOMMY8681,"fuck, 11.06 "
47162,1471060,1,2065148030,Sun Jun 07 08:00:00 PDT 2009,NO_QUERY,gairwyn,"@MiMaMe What channel's that on? We've got the tennis on, tis a good match "
14376,1581550,1,2190199977,Tue Jun 16 02:03:05 PDT 2009,NO_QUERY,katiferrr,my hair is sooo soft 
42305,562294,0,2205623849,Wed Jun 17 05:07:44 PDT 2009,NO_QUERY,Kaiti_Batie,"@OMGitsElsaa Hope you feel better  I just watched the Donnie liveautograph vid, now I want a call from Donnie"
1850,1518348,1,2175953554,Mon Jun 15 02:29:07 PDT 2009,NO_QUERY,Shelly1912,"@NeilHotdog its was great! Had a brilliant time. New job is going good, getting my teeth int some good accounts  How was your trip?"
43563,31055,0,1563929163,Mon Apr 20 00:55:22 PDT 2009,NO_QUERY,Roobyn_x,My mileycyrus edit wont uploaaaaaaaaaaad  I ask my daddy to fix it =]
5685,963356,1,1827431354,Sun May 17 10:41:47 PDT 2009,NO_QUERY,mp3mad,@Dwarfette Good afternoon Chantal  Great news on the doves. TWO babies! Awesome! Glad to hear from you 
21740,1318731,1,2014401895,Wed Jun 03 01:24:39 PDT 2009,NO_QUERY,Ellectrocutie,"@bobbythomas1 I'm sorry if i scared you off, back to my book "
28042,596721,0,2219092361,Wed Jun 17 23:46:45 PDT 2009,NO_QUERY,JonnySayer,Can not be bothered with school 
33341,511366,0,2189881960,Tue Jun 16 01:09:33 PDT 2009,NO_QUERY,kat_n,"morning everyone,, got a sore throat.can hardly speak   "
47417,851178,1,1565724712,Mon Apr 20 07:24:59 PDT 2009,NO_QUERY,SamBusbySleeps,Do I see another G1 user on the opposing track of the train line to me? I think I do. 
11832,428477,0,2063938399,Sun Jun 07 04:39:22 PDT 2009,NO_QUERY,morbidnicxie,can't update my twitter regularly. 
4387,1579649,1,2189970601,Tue Jun 16 01:24:13 PDT 2009,NO_QUERY,endlessblush,@Barney21 i'm having a drink with dinner .. and its Tuesday .. normally i don't but today - iam  .. hope your day is a good one
42730,1448587,1,2062746619,Sun Jun 07 00:10:00 PDT 2009,NO_QUERY,oohlabangbang,"a friend of mine has been arguing with a bunch of people he doesn't even know on facebook poll for 3 hours. oh internet, how we love you. "
20416,509223,0,2189353567,Mon Jun 15 23:50:21 PDT 2009,NO_QUERY,ThisAnchorHeart,she won.  new game!
37416,549409,0,2202638315,Tue Jun 16 22:08:41 PDT 2009,NO_QUERY,firahwaldorf,is damn bored. 
46276,1022750,1,1882855924,Fri May 22 07:36:07 PDT 2009,NO_QUERY,nat_xoxo,@RyanLansley The Veronicas are awesome 
662,619433,0,2227921259,Thu Jun 18 13:47:56 PDT 2009,NO_QUERY,Heartagram,@Dannabug i think the latter 
17599,289606,0,1995063584,Mon Jun 01 12:53:32 PDT 2009,NO_QUERY,SethBuzzard,And there I was alone.  http://yfrog.com/5aq46j
45140,1461514,1,2063942887,Sun Jun 07 04:40:22 PDT 2009,NO_QUERY,PeteMcN,http://twitpic.com/6tngr - You have to get here very early to grab THAT parking space 
25388,1114347,1,1972755519,Sat May 30 09:49:36 PDT 2009,NO_QUERY,alexaftw,awainting 10 to but some blink 182 tickets.... normaly i wouldnt be up this early...but anything for concert tickets.. 
35438,271036,0,1989945523,Mon Jun 01 03:21:38 PDT 2009,NO_QUERY,SunshineBoat,Feeling quesy this morning. Drinking lots cuz I'm thinking maybe dehydration. Ugh. I thought I drank enough after that workout. 
20532,466267,0,2175526675,Mon Jun 15 01:14:12 PDT 2009,NO_QUERY,marlissasonia,"Hahahaha moving on, fariza is coming over. I want to sleep "
31217,515665,0,2190890877,Tue Jun 16 04:00:22 PDT 2009,NO_QUERY,amy__xx,@Rochellewiseman I can only see the necklace 
13992,1456511,1,2063505517,Sun Jun 07 02:56:07 PDT 2009,NO_QUERY,xan_the,checking out Blur - Midlife Medley in youtube..think i need this one! 
7984,717647,0,2260063700,Sat Jun 20 18:36:38 PDT 2009,NO_QUERY,reycz,@xdo_christine's wouldn't car!!  helpp us!
29720,190538,0,1969381641,Fri May 29 23:51:33 PDT 2009,NO_QUERY,KirseeR,has had no communication from her husband 
10323,859475,1,1676067511,Fri May 01 21:00:54 PDT 2009,NO_QUERY,skaro964,"@tinateee Yes you will. keep going, you are doing a great job "
4742,495651,0,2185305527,Mon Jun 15 17:11:04 PDT 2009,NO_QUERY,benchidol,says I vommitted everything in my stomach  http://plurk.com/p/1170xf
30485,972183,1,1832352563,Sun May 17 20:40:28 PDT 2009,NO_QUERY,ZuriNayeem,@wolfhudson 
15136,1042019,1,1957148807,Thu May 28 23:39:19 PDT 2009,NO_QUERY,CateP36,@Silver_Craig not heard many Aussies then? 
2737,1195336,1,1984601758,Sun May 31 15:25:53 PDT 2009,NO_QUERY,morven_mclaren,here comes the sun 
36928,1478413,1,2066480815,Sun Jun 07 10:36:04 PDT 2009,NO_QUERY,iLivebymusic,ooo my dad bought ice lollies 
36525,1411088,1,2056400071,Sat Jun 06 11:04:32 PDT 2009,NO_QUERY,nikiivenezia,With @lovethatmusic94 &lt;3 Text. Maybe hanging again tonight?! 
15388,638912,0,2234586493,Thu Jun 18 23:20:28 PDT 2009,NO_QUERY,jodhpurtimes,brooding over lost data and MUSIC!!! 
22846,92008,0,1759815035,Sun May 10 20:01:34 PDT 2009,NO_QUERY,devvle,"@caninetrainer Must be a really tough holiday for you, I'm sorry.  I hope tomorrow you can just unwind a little."
24162,245748,0,1982078387,Sun May 31 10:29:03 PDT 2009,NO_QUERY,bookgrl,@persnicket Oh no! Fail cake = no fun. 
47022,238411,0,1980406845,Sun May 31 06:39:09 PDT 2009,NO_QUERY,ntoll,@pydanny hmm... I'm working on a project where the table names have been changed from their default (despite the Django ORM)... PIA 
36706,374448,0,2051241974,Fri Jun 05 21:17:50 PDT 2009,NO_QUERY,hardcorelove94," not good, not good."
27987,415440,0,2061069649,Sat Jun 06 20:07:07 PDT 2009,NO_QUERY,dear_gravity,@cameronfrye I'm getting ready to shove her off. I need sack lovin'. Waaaah 
1224,1439591,1,2061525540,Sat Jun 06 21:03:09 PDT 2009,NO_QUERY,dbale,@seankingston hit the club 
28346,1219054,1,1989899834,Mon Jun 01 03:12:05 PDT 2009,NO_QUERY,Jeff_Hardyfan,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail???I want to write with you but I cant =(
37651,132133,0,1835684033,Mon May 18 06:32:02 PDT 2009,NO_QUERY,heazza,studying maths for exam on Thursday  I hate trig graphs!
46391,58207,0,1685845185,Sun May 03 02:23:08 PDT 2009,NO_QUERY,ImInappropriate,Thanks to everybody that did #ff. I was outta commission for a few days but Im back! ... but Im not wireless...   but I got Ethernet!
12540,966163,1,1827673013,Sun May 17 11:12:22 PDT 2009,NO_QUERY,joshw,: turns out somebody's receiving Jesus online right now! 
